compound_id,smiles
ZINC000000152561,COc1cc(/C=C/C(=O)O)cc(OC)c1OC
ZINC000000152802,NC(=O)c1ccc[n+]([O-])c1
ZINC000000152926,COc1cc(C=O)cc(OC)c1O
ZINC000000152996,NC(=O)c1ccccc1
ZINC000000153019,O=C(O)CCc1ccccc1O
ZINC000000153654,COc1cc(/C=C/C(=O)O)cc(OC)c1O
ZINC000000153660,COC(=O)/C=C/c1cc(OC)c(OC)c(OC)c1
ZINC000000153731,COC(=O)/C=C/c1ccc(O)cc1
ZINC000000154564,O=C(O)CCc1ccccc1
ZINC000000154632,CC(=O)CCc1ccc(O)cc1
ZINC000000154729,C[N+](C)(C)C[C@@H](O)CC(=O)O
ZINC000000155364,CC1(C)COC(=O)[C@@H]1O
ZINC000000155368,C[n+]1cccc(C(N)=O)c1
ZINC000000155456,COc1ccc(C=O)cc1OC
ZINC000000155697,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccccc12
ZINC000000155804,Oc1cc2c(cc1O)[C@H]1c3ccc(O)c(O)c3OC[C@@]1(O)C2
ZINC000000155806,Oc1cc2c(cc1O)[C@@H]1c3ccc(O)c(O)c3OC[C@]1(O)C2
ZINC000000156055,COc1ccc(/C=C/C(=O)O)cc1O
ZINC000000156386,COc1cc(C(=O)O)cc(OC)c1O
ZINC000000156504,COc1ccc(CC(=O)O)cc1OC
ZINC000000156571,COc1cc(CCC(=O)O)ccc1O
ZINC000000156701,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21
ZINC000000156709,O=Cc1ccc(O)cc1
ZINC000000156956,C1CCN2C[C@H]3C[C@H](CN4CCCC[C@H]34)[C@@H]2C1
ZINC000000157014,O=C(O)[C@H]1CCCCN1
ZINC000000157015,O=C(O)[C@@H]1CCCCN1
ZINC000000157062,Cc1c[nH]c(=O)[nH]c1=O
ZINC000000157077,COc1cc(O)c(C(C)=O)c(OC)c1
ZINC000000157156,COc1cccc(C=O)c1OC
ZINC000000157437,CC(=O)c1ccccc1C(=O)O
ZINC000000157773,CC(=O)c1c(O)cc(O)cc1O
ZINC000000157793,CC(=O)c1ccc(C)cc1O
ZINC000000158116,CC(C)CC(N)=O
ZINC000000158555,O=C(O)c1ccco1
ZINC000000158556,O=C(O)c1ccoc1
ZINC000000158741,O=C(O)c1c[nH]c2ccccc12
ZINC000000160317,COc1ccc(O)c(C(C)=O)c1
ZINC000000160491,CCOC(=O)c1c(C)cc(O)cc1O
ZINC000000160496,CCOC(=O)/C=C/c1ccc(O)c(OC)c1
ZINC000000160784,CN(C)CCc1ccc(O)cc1
ZINC000000161951,COc1ccc([C@H]2CC(=O)c3c(OC)cc(OC)cc3O2)cc1
ZINC000000161953,COc1ccc([C@@H]2CC(=O)c3c(OC)cc(OC)cc3O2)cc1
ZINC000000162391,COc1ccc(C(=O)O)c(O)c1
ZINC000000162515,COc1cc(C(C)=O)ccc1O
ZINC000000163369,CC(=O)c1ccc(O)c(C(=O)O)c1
ZINC000000164367,CC1=CC(=O)C(C(C)C)=CC1=O
ZINC000000164388,COc1cc(CO)ccc1O
ZINC000000164392,O=C(O)[C@H](O)c1ccccc1
ZINC000000164447,N#CCc1ccc(O)cc1
ZINC000000164488,Cc1occc(=O)c1O
ZINC000000164504,Oc1ccc2c(c1)OCO2
ZINC000000164581,OCCc1ccc(O)cc1
ZINC000000164617,COc1ccc(C=O)cc1O
ZINC000000164902,CC(=O)c1cc(O)ccc1O
ZINC000000166877,COc1cc(C=O)ccc1OC(C)=O
ZINC000000167136,CC(CC(=O)O)CC(=O)O
ZINC000000188136,COC(=O)Nc1ccc(C)c(NC(=O)OC)c1
ZINC000000199415,COc1c2ccoc2nc2c(OC)cccc12
ZINC000000213065,O=C(O)Cc1ccc(O)cc1
ZINC000000226366,O=c1c2ccccc2nc2n1CCC2
ZINC000000239015,COC(=O)c1c(C)cc(O)c(C)c1O
ZINC000000241087,O=C(/C=C/c1ccccc1)N1CCCC1
ZINC000000258869,COc1ccc(/C=C/C(=O)N2CCCC2)cc1
ZINC000000265490,CC1=C2C(=O)O[C@@H](c3ccoc3)[C@]2(C)CCC1
ZINC000000265512,COc1ccc2c(c1)c(=O)c1ccoc1n2C
ZINC000000265517,COc1c2ccccc2nc2occc12
ZINC000000266964,N[C@@H](Cc1ccc(O)cc1)C(=O)O
ZINC000000282094,COc1cc(OC)c(C(C)=O)c(OC)c1
ZINC000000296185,CC(C)=CCOc1c2ccoc2cc2oc(=O)ccc12
ZINC000000299667,O=C(/C=C/c1ccccc1)NCCc1ccccc1
ZINC000000306694,CN1CCc2cc3c(c4c2[C@@H]1Cc1ccccc1-4)OCO3
ZINC000000314951,COc1c2ccoc2c(OC)c2oc(=O)ccc12
